Comece fazendo o que é necessário, depois o que é possível, e de repente você estará fazendo o impossível.; (São Francisco de Assis)
Aquele que obtém uma vitória sobre outros homens é forte, mas aquele que obtém uma vitória sobre si próprio é todo-poderoso.; (Lao-tzé)
Qual é o sinal da libertação? Não mais se envergonhar diante de si próprio!; (Nietzsche)
Não cruzarás o mesmo rio duas vezes, porque outras são as águas que correm nele.; (Heráclito de Éfeso)
Educai as crianças e não será preciso punir os homens.; (Pitágoras)
Não é livre quem não obteve domínio sobre si.; (Pitágoras)
Para o homem que quer aprender, todas as ocasiões são boas e sempre encontra a seu lado mais de um motivo que pode ilustrá-lo.; (Carlos Bernardo González Pecotche)
Se leva muito tempo para aprender a ser jovem.; (Pablo Picasso)
Toda adversidade, toda circunstância desagradável, todo fracasso e toda dor física carregam consigo a semente de um benefício equivalente.; (Napoleon Hill)
Não se pode ensinar alguma coisa a alguém, pode-se apenas auxiliar a descobrir por si mesmo.; (Galileu)
Ninguém pode fazer com que você se sinta inferior sem seu consentimento.; (Eleanor Roosevelt)
A boa madeira não cresce com sossego; quanto mais forte o vento, mais fortes as árvores.; (J. Willard Marriott)
Habilidade é o que você é capaz de fazer. Motivação determina o que você faz. Atitude determina o quanto você faz isso bem feito.; (Lou Holtz)
Há quem passe pelo bosque e só veja lenha para a fogueira.; (Tolstoi)
Assim que você confiar em si mesmo, saberá como viver.; (Goethe)
Bondade é amar as pessoas mais do que elas merecem.; (Joseph Joubert)
Primeiro aprenda a ser um artesão. Isso não o impedirá de ser um gênio.; (Eugène Delacroix)
O homem, para chegar a ser verdadeiramente dono de si mesmo, deve ter pleno domínio sobre seus pensamentos; então, também, o terá sobre sua vontade.; (Carlos Bernardo González Pecotche)
Aprender é a única coisa de que a mente nunca se cansa, nunca tem medo e nunca se arrepende.; (Leonardo da Vinci)
A humanidade é desumana, mas acho que ainda temos uma chance.; (Renato Russo)
Melhor é acender uma vela do que amaldiçoar a escuridão.; (Provérbio chinês)
Seja mais sábio do que outras pessoas se puder, mas não diga isso a elas.; (Lord Chesterfield)
É preciso que você faça aquela coisa que acha que não pode fazer.; (Eleanor Roosevelt)
Tudo acaba bem para quem sabe esperar.; (Leon Tolstoi)
Ao final, não nos lembraremos tanto das palavras de nossos inimigos, senão dos silêncios de nossos amigos.; (Martin Luther King, Jr.)
Enquanto se tenha ao menos um amigo, ninguém é inútil.; (Robert Louis Stevenson)
Lhe aconselho que se case. Se o faz, será um homem feliz. Se não o faz, será um filósofo.; (Socrates)
O fracasso é a oportunidade de começar de novo inteligentemente.; (Henry Ford)
Não é necessário reagir contra aquele que nos julga mal; há que demonstrar com o exemplo o contrário.; (Carlos Bernardo González Pecotche)
Ninguém é tão grande que não possa aprender, nem tão pequeno que não possa ensinar.; (Carlos Bernardo González Pecotche)
A fome do saber cria o alimento da inteligência.; (Carlos Bernardo González Pecotche)
Fazer frases é fácil, o difícil é saber usá-las.; (Cyber Rex)
Lamentar as experiências vividas é uma forma de impedir o próprio desenvolvimento.; (Oscar Wilde)
Olhe para seu trabalho como se ele tivesse sido realizado por seu inimigo. Se você olha para admirá-lo, então está perdido.; (Samuel Butler)
Sorte é o que acontece quando a preparação encontra a oportunidade.; (Elmer Letterman)
Lembre-se de que os vencedores fazem aquilo que os perdedores não querem fazer.; (H. Jackson Brown Jr)
Tenha cuidado com o dia seguinte ao êxito!; (Titu Maiorescu)
Se você tivesse acreditado nas minhas brincadeiras de dizer verdades, teria ouvido muitas verdades que insisto em dizer brincando... Falei, muitas vezes, como um palhaço, mas nunca desacreditei da seriedade da plateia que sorria.; (Charles Chaplin)
A prova maior neste mundo é saber enfrentar a derrota sem desanimar.; (Ingersoll)
Odeio quem me rouba a solidão sem em troca me oferecer verdadeira companhia.; (Nietzsche)
O futuro não pode ser previsto, mas pode ser inventado. É a nossa habilidade de inventar o futuro que nos dá esperança para fazer de nós o que somos.; (Dennis Gabor)
Eu continuo ateu, graças a Deus.; (Luis Buñel)
Não há fatos, só interpretações.; (Friedrich Nietzsche)
O que fazemos durante as horas de trabalho determina o que temos; o que fazemos nas horas de lazer determina o que somos.; (Charles Schulz)
Dinheiro é um negócio curioso. Quem não tem está louco para ter, e quem tem está cheio de problemas por causa dele.; (Ayrton Senna)
A cada minuto que passamos com raiva, perdemos sessenta felizes segundos.; (William Somerset Maugham)
O sucesso é um símbolo de auto-confiança; (Frank S. Cáprio)
Os dias prósperos não vêm por acaso; nascem de muita fadiga e persistência.; (Henry Ford)
Se você quer transformar o mundo, experimente primeiro promover o seu aperfeiçoamento pessoal e realizar inovações no seu próprio interior.; (Dalai Lama)
Nos olhos do jovem arde a chama. Nos do velho brilha a luz.; (Victor Hugo)
Você não pode ensinar nada a um homem; você pode apenas ajudá-lo a encontrar a resposta dentro dele mesmo.; (Galileu Galilei)
Não corrigir nossas falhas é o mesmo que cometer novos erros.; (Confucio )
O mais importante da vida não é a situação em que estamos, mas a direção para a qual nos movemos.; (Oliver Holmes)
A vida é mais simples do que a gente pensa; basta aceitar o impossível, dispensar o indispensável e suportar o intolerável.; (Kathleen Norris)
A sabedoria torna bons os homens. A simulação da sabedoria torna-os péssimos.; (Juan Luis Vives)
Amar não é aceitar tudo. Aliás: onde tudo é aceito, desconfio que haja falta de amor.; (Vladimir Maiakovski)
Há duas fontes perenes de alegria pura: o bem realizado e o dever cumprido.; (Eduardo Girão)
Não acrescente dias a sua vida, mas vida aos seus dias.; (Harry Benjamin)
Ciência é conhecimento organizado. Sabedoria é vida organizada.; (Immanuel Kant)
Não há lugar para a sabedoria onde não há paciência.; (Santo Agostinho)
A alegria de ver e entender é o mais perfeito dom da natureza.; (Albert Einstein)
A alegria e o amor são as duas grandes asas para os grandes feitos.; (Goethe)
Não pode ser seu amigo quem exige seu silêncio ou atrapalha seu crescimento.; (Alice Walker)
O medo derrota mais pessoas que qualquer outra coisa no mundo.; (Ralph Waldo Emerson)
O mundo é um belo livro, mas com pouca utilidade para quem não sabe ler.; (Carlo Goldoni)
As pessoas que vencem neste mundo são as que procuram as circunstâncias de que precisam e, quando não as encontram, as criam.; (Bernard Shaw)
Desde que alberguemos uma única vez o mal, este não volta a dar-se ao trabalho de pedir que lhe concedamos a nossa confiança.; (Franz Kafka)
A vantagem de ter péssima memória é divertir-se muitas vezes com as mesmas coisas boas como se fosse a primeira vez.; (Friedrich Nietzsche)
Todo conceito que o homem não modifica com sua evolução torna-se um preconceito, e os preconceitos acorrentam as almas à rocha da inércia mental e espiritual.; (Carlos Bernardo González Pecotche)
É mais útil estudar os homens do que os livros.; (La Rochefoucauld)
Todo mundo é ignorante, só que em assuntos diferentes.; (Will Rogers)
É preciso sofrer depois de ter sofrido, e amar, e mais amar, depois de ter amado.; (Guimarães Rosa)
O homem não morre quando deixa de viver, morre quando deixa de amar.; (Charles Chaplin)
Foi o tempo que dedicaste à tua rosa que fez tua rosa tão importante.; (Antoine de Saint-Exupéry)
O que sabemos fazer aprendemos fazendo.; (Aristóteles)
Amar a humanidade é fácil. Difícil é amar o próximo.; (Henry Fonda)
Há cordas no coração que melhor seria não fazê-las vibrar.; (Charles Dickens)
Nunca encontrei uma pessoa tão ignorante que não pudesse ter aprendido algo com sua ignorância.; (Galileu Galilei)
O coração de uma mãe é um abismo profundo em cujo fundo você sempre encontra perdão.; (Honore de Balzac)
Nada há que possua mais encantos que a pureza de uma mulher, manifestada em seu coração de esposa e de mãe; pureza que fala a si mesma da missão insubstituível de sua existência.; (González Pecotche (Raumsol))
Nenhuma influência é tão poderosa quanto aquela de mãe.; (Sarah Josepha Hale)
Mãe é aquela pessoa com quem contamos para as coisas que importam acima de tudo.; (Katherine Butler Hathaway)
No momento em que uma criança nasce, a mãe também nasce. Ela nunca existiu antes. A mulher existia, mas a mãe, nunca. Uma mãe é algo absolutamente novo.; (Rajneesh)
As mães são mais carinhosas que os pais de seus filhos porque elas têm mais certeza de que eles são delas.; (Aristóteles)
Qualquer mãe poderia facilmente desempenhar o papel de vários controladores de tráfico aéreo.; (Lisa Alther)
Um pai pode negligenciar seu filho, irmãos e irmãs podem se tornar inimigos inveterados; maridos podem abandonar suas esposas, e esposas os seus maridos. Mas o amor de uma mãe resiste a tudo.; (Washington Irving)
Mãe é o nome de Deus nos lábios e corações das crianças pequenas.; (William Makepeace Thackeray)
Tudo o que sou e que sempre desejei ser, eu devo a meu anjo Mãe.; (Abraham Lincoln)
O amor de mãe é paz. Ele não precisa ser adquirido, não precisa ser merecido.; (Erich Fromm)
Deus não poderia estar em todos os lugares, por isso Ele criou as mães.; (Provérbio Judeu)
Pensar é o trabalho mais pesado que há. Talvez seja essa a razão para tão poucos se dedicarem a isso.; (Henry Ford)
Não há diferença entre um sábio e um tolo quando estão apaixonados.; (George Bernard Shaw)
Os covardes morrem muitas vezes antes da morte, o valente experimenta o gosto da morte somente uma vez.; (William Shakespeare)
Uma bela velhice é, comumente, recompensa de uma bela vida.; (Pitágoras)
Não se deve temer algo que vai acontecer de qualquer jeito.; (Paulo Coelho)
Amor é quando as diferenças não são mais capazes de separar.; (J. de Bourbon Busset)
É preciso muito tempo para tornar-se jovem.; (Pablo Picasso)
O mundo não está ameaçado pelas pessoas más, e sim por aquelas que permitem a maldade.; (Albert Einstein)
Cada um deve cultivar o bem dentro de si mesmo; esse é o maior de todos os bens, por constituir-se numa fonte capaz de prodigalizar ao semelhante aquilo de que ele necessita.; (Carlos Bernardo González Pecotche)
Os nossos protetores mais seguros são os nossos méritos; (Vauvenargues)
A amizade duplica as alegrias e divide as tristezas.; (Bacon)
A nossa maneira de andar, conversar, olhar, ouvir, enfim, tudo que fazemos, informa às outras pessoas o que pensamos de nós mesmos.; (Mary Jones Adams)
A velhice não nos protege do amor. É o amor que até certo ponto nos protege da velhice.; (Jeanne Moreau)
Quando perseguimos um grande sonho com determinação, tudo o que parece impossível pode acontecer de repente.; (Valdênio Carvalho)
Depende de nós fazermos de nosso espaço um paraíso.; (Madre Jesumina)
Aquele que tudo adia, não deixará nada concluído nem perfeito.; (Demócrito )
Devemos prosperar por merecimento, e não por proteção.; (Plauto)
O amor tem que possuir o hálito da perpetuidade; senão, é um mero engano.; (Carlos Bernardo González Pecotche)
Eu não sigo o fluxo, faço o caminho que me parecer mais justo.; (Zélia Duncan)
Amar é sentir na felicidade do outro a própria felicidade.; (Gottfried Leibnitz)
O amor é como fogo: para que dure é preciso alimentá-lo.; (La Rochefoucauld)
Há, no mundo, milhares de formas de alegria, mas no fundo todas elas se resumem a uma única: a alegria de poder amar.; (Michael Glent)
Amar, porque nada melhor para a saúde que um amor correspondido.; (Vinícius de Moraes)
Quem já passou por essa vida e não viveu, pode ser mais, mas sabe menos do que eu, porque a vida só se dá pra quem se deu, pra quem amou, pra quem chorou, pra quem sofreu.; (Vinícius de Moraes)
A justiça é forte para os fracos e fraca para os fortes.; (Augosto Cury)
Se você tivesse acreditado na minha brincadeira de dizer verdades, teria ouvido as verdades que eu insisto em dizer brincando. Falei muitas vezes como um palhaço, mas nunca desacreditei na seriedade da platéia que sorria.; (Charlie Chaplin)
